Ranking,Team,3PA,FT%,PPG,RPG,APG,SPG,BPG,TOV,PF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Iowa,25.2,0.749,83.8,35.5,16.1,7.4,4.4,9.2,16.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Iowa State,20.9,0.684,66.5,30.8,14.7,8.4,3.1,13.8,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Jacksonville State,24,0.681,73.9,35.7,14.5,6.2,2.9,13.3,14.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Kansas,20.1,0.724,78.6,36.3,15.4,6.4,4.1,12.5,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Kentucky,17.6,0.73,79.5,38.7,16.1,6.8,4.2,11.6,14.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Longwood,21.6,0.724,76.3,35.8,14,7.8,2.4,12,15.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Loyola Chicago,23.3,0.719,73.8,32.9,15,6.9,2.4,12.2,17.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,LSU,20.5,0.732,73.1,36.1,12.7,11.1,4.4,14.6,19.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Marquette,24.8,0.747,74.4,33.4,16,7.9,5.1,12.4,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Memphis,17.6,0.692,75.4,37,16.1,8.7,5.7,16.3,18.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Miami,20.7,0.743,74.8,29.5,14,8.7,3,9.6,14.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Michigan,18.7,0.746,73,34.5,14.2,4.8,3.1,11.5,15.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Michigan State,19,0.747,72.1,35.6,15.8,5.8,5.1,13.1,16.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Montana State,20.7,0.753,77,34.6,13.2,5.2,3.7,12.8,18.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Murray State,22.8,0.694,79.3,38,14.7,7.9,3.1,11.4,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,New Mexico State,24,0.698,73.3,37.5,14,5.1,4.2,14,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Norfolk State,20.2,0.698,75.1,38.1,12.6,6.7,3.7,14,17.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,North Carolina,22.8,0.772,77.5,38.6,14.8,5.4,3.8,11.6,14.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Notre Dame,24.1,0.758,72.5,32.9,14.2,5.1,1.9,10.3,12.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Ohio State,21.7,0.76,73.8,33.2,12.7,4.4,4.7,11,16.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Providence,21.3,0.726,71.8,35.9,13.2,5,3.8,11.6,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Purdue,22.4,0.703,79.8,37.2,16.6,4.6,3.5,11.6,14.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Richmond,24.1,0.725,71.7,31,14.7,7.9,2.3,9.8,13.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Rutgers,18.1,0.701,67.9,34.3,15,7.2,3.9,11.5,15.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Saint Mary's,20.4,0.762,69.8,32.3,13.4,7,2.5,11.3,15.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Saint Peter's,16.6,0.683,66.9,35.1,12.2,7.3,4.9,13.9,19.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,San Diego State,16.9,0.695,65.3,34.4,11.8,7.5,4.7,12.6,17.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,San Francisco,27.2,0.696,77.1,36.9,12.9,7.7,4.6,12.8,17.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Seton Hall,21.6,0.757,72.9,38,10.4,7,5.5,12,15.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,South Dakota State,20.9,0.759,86.7,34.6,15.2,6.1,2.5,11,15.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,TCU,18.3,0.668,68.1,37.9,13.6,6.3,4.2,14.5,15.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Tennessee,24.5,0.712,73.2,36.2,16.1,9.3,4.4,12.4,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Texas,19.8,0.749,68.3,32.6,13,7.8,3.4,11.8,17.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Texas A&M CC,19,0.737,76.6,37,15.1,8.5,1.8,14,20.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Texas Southern,18.1,0.675,69.5,38.2,10.8,5.5,5.1,14.8,17.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Texas Tech,19,0.699,71.7,35.1,13.6,8.2,3.5,13.9,16.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,UAB,21,0.738,80.7,37.2,12.9,9.6,4.2,11.5,16.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,UCLA,19.5,0.736,76.4,35.8,13.9,7,3.3,9.2,16.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Uconn,21.1,0.75,75.2,39.3,14,6,6.5,11.9,16.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,USC,18.9,0.666,72.6,39,14.2,5.1,4.5,12,15.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Vermont,24,0.747,74.9,33.9,15.2,5.2,2.5,9.7,13.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Villanova,25.9,0.823,72.6,34,12.1,6.2,2.2,10,15.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Virginia Tech,22.9,0.743,70.7,31.2,14.4,5.4,3.2,10.8,14.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Wisconsin,21.1,0.742,70.7,33.6,11,5.3,2.8,8.5,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Wright State,19.2,0.768,75.5,33.6,13.8,5.8,3,12.3,14.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Wyoming,23.6,0.725,72.5,34.7,11.2,3.9,2,11.3,15.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Yale,21,0.739,72.3,35,11.9,6.2,3.2,12.9,17.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
